business_id,stars,BusinessParking,RestaurantsDelivery,RestaurantsReservations,NoiseLevel,RestaurantsTakeOut,RestaurantsPriceRange2,WiFi
rnvsL0oFZpzpO61GXqBF6g,4.5,True,False,False,average,True,2,no
pIpmZWRDGtw0g7JQb8fmQw,1.5,False,False,True,average,True,1,free
Bmv3nHS2nfjzhkDQMsLAWQ,4.0,True,,,average,True,2,free
7gHdVSAz_Dm1wS1ZImJSiQ,4.0,True,False,False,average,True,1,no
WfDB6grqF9-1bOAP505Lqg,3.0,True,False,False,average,True,1,no
xsdRrNJuNumvrwoQ2Tt8tQ,3.0,False,False,False,average,True,1,no
qnsqf81chWm3KndLt9KUTA,2.0,True,False,True,loud,True,2,free
EBHzEtuOJz474NwRQFqJbg,1.5,False,True,False,very_loud,True,3,
FiP3Kj0F1B-gmfzJ4-PKhQ,3.5,,,,,,2,
p8AwMheeFJ_8pP2EpOAPsA,4.0,,,,,,,
flgxUeGy8xctqiykaMVOLA,3.5,True,False,False,average,True,1,free
GD9mTnCht2bog2yb0gH9Bg,4.5,,,,,,,
nIskoP3-_MttghA3d-eYBA,4.5,True,False,False,average,True,1,no
tLZ_pvZaFlsIy18ssrm-7g,1.0,,,False,very_loud,True,1,free
CbcRnVNDBYf-HVdc4EoO7Q,2.0,,,,,,,
gTedBMNAi5pBy0amenPOYQ,2.5,False,False,False,average,True,1,free
UHSN_kZGfG-jBL8iCfvgvg,3.0,False,False,False,loud,True,2,free
Nv1PVoMJjKSutxCnGRYbnA,3.0,True,False,False,average,True,1,no
Vth-yacyyE3HZkbLbdkmzQ,3.0,,False,False,,True,1,no
GamiKM6IQmrohug1QpiINA,3.5,False,True,,,True,2,
RruVXr3L6G5RplZ_PtDNuA,2.5,True,False,True,quiet,True,3,free
FS84wtnQv2i1cCO8hC88LA,3.0,True,True,True,quiet,True,1,free
X9v01PhbWwjrDTTOkUiOLA,4.0,,,True,average,,2,
bu_vAwJG1DHhM5f6ePjXog,4.0,True,False,False,average,True,2,free
McZz8few5LqWF37KZTK_QA,3.5,True,False,True,,True,2,
